Algoritma,Split,Accuracy,F1_Score,Precision,Recall,Egitim_s,Tahmin_s
RandomForest,70_30,0.9627,0.9619,0.9618,0.9627,0.38,0.0513
ExtraTrees,70_30,0.9616,0.9608,0.9606,0.9616,0.19,0.0499
RandomForest,80_20,0.961,0.9603,0.9605,0.961,0.37,0.0368
XGBoost,80_20,0.9623,0.9596,0.9593,0.9623,3.62,0.0411
ExtraTrees,80_20,0.9601,0.9594,0.9596,0.9601,0.33,0.0675
XGBoost,70_30,0.9621,0.9593,0.9587,0.9621,4.23,0.062
DecisionTree,70_30,0.9593,0.9587,0.9586,0.9593,0.11,0.0016
DecisionTree,80_20,0.9588,0.9582,0.9583,0.9588,0.12,0.0013
GradientBoosting,70_30,0.9605,0.9572,0.957,0.9605,50.32,0.0823
GradientBoosting,80_20,0.9601,0.9569,0.9568,0.9601,67.79,0.0931
KNN,70_30,0.952,0.9502,0.9499,0.952,0.07,0.2524
KNN,80_20,0.9482,0.9466,0.9459,0.9482,0.07,0.1751
MLP,80_20,0.9511,0.9457,0.9524,0.9511,59.02,0.0091
MLP,70_30,0.9441,0.9388,0.9466,0.9441,11.31,0.0077
SVM,80_20,0.695,0.6524,0.6665,0.695,2.29,0.0017
SVM,70_30,0.6907,0.6434,0.6392,0.6907,1.14,0.0041
NaiveBayes,80_20,0.3925,0.3405,0.5252,0.3925,0.01,0.0104
NaiveBayes,70_30,0.3666,0.3204,0.5063,0.3666,0.01,0.0146
