Algoritma,Split,Accuracy,F1_Score,Precision,Recall,Egitim_Sure_s,Tahmin_Sure_s
DecisionTree,80_20,0.9789,0.9792,0.9796,0.9789,0.24,0.0014
RandomForest,80_20,0.9789,0.9789,0.979,0.9789,0.55,0.0515
XGBoost,80_20,0.9816,0.9789,0.9793,0.9816,3.53,0.0394
RandomForest,70_30,0.9787,0.9785,0.9785,0.9787,0.51,0.0639
DecisionTree,70_30,0.9784,0.9784,0.9784,0.9784,0.22,0.002
ExtraTrees,80_20,0.978,0.9781,0.9783,0.978,0.29,0.0515
XGBoost,70_30,0.9806,0.978,0.9777,0.9806,3.55,0.0522
ExtraTrees,70_30,0.978,0.9779,0.9779,0.978,0.28,0.062
GradientBoosting,70_30,0.9796,0.9773,0.9776,0.9796,91.06,0.125
GradientBoosting,80_20,0.9788,0.9768,0.9769,0.9788,103.93,0.0744
KNN,80_20,0.9686,0.9678,0.9677,0.9686,0.0,0.2369
KNN,70_30,0.9687,0.9678,0.9677,0.9687,0.0,1.9762
MLP,70_30,0.9656,0.9609,0.9665,0.9656,36.0,0.0164
MLP,80_20,0.965,0.9603,0.9664,0.965,39.8,0.0108
SVM,70_30,0.8801,0.87,0.8756,0.8801,8.82,0.0026
SVM,80_20,0.8787,0.8689,0.875,0.8787,17.17,0.0021
NaiveBayes,80_20,0.6767,0.6634,0.7807,0.6767,0.01,0.0205
NaiveBayes,70_30,0.6756,0.6632,0.7837,0.6756,0.01,0.0337
